"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","gene_chr","gene_start","gene_end","gene_strand","gene_length","gene_biotype","gene_description","tf_family"
"ENSMUSG00000032532","ENSMUSG00000032532",233.782454212684,-6.1708151937905,0.43217355122322,-14.2785581772061,2.97696985933173e-46,1.16503612763485e-44,"Cck","9",121489824,121495694,"-",1305,"protein_coding","cholecystokinin [Source:MGI Symbol;Acc:MGI:88297]","-"
"ENSMUSG00000027423","ENSMUSG00000027423",10541.0322206727,-1.44891694986336,0.101484512641625,-14.2772223282971,3.0345760448925e-46,1.18310465693e-44,"Snx5","2",144250123,144270906,"-",4177,"protein_coding","sorting nexin 5 [Source:MGI Symbol;Acc:MGI:1916428]","-"
"ENSMUSG00000031289","ENSMUSG00000031289",261.029201116614,-4.07506453505135,0.28552812353574,-14.2720250621521,3.26944860003662e-46,1.2723993355214e-44,"Il13ra2","X",147383476,147429192,"-",2281,"protein_coding","interleukin 13 receptor, alpha 2 [Source:MGI Symbol;Acc:MGI:1277954]","-"
"ENSMUSG00000046329","ENSMUSG00000046329",3305.32677964335,1.60079386960089,0.112215865675888,14.2653078507138,3.59999784935733e-46,1.39854461905336e-44,"Slc25a23","17",57043711,57059863,"-",5294,"protein_coding","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23 [Source:MGI Symbol;Acc:MGI:1914222]","-"
"ENSMUSG00000022021","ENSMUSG00000022021",238.110478307052,-3.05171729688911,0.213942887732406,-14.264168018084,3.65929973793823e-46,1.41905299801825e-44,"Diaph3","14",86655367,87141235,"-",5569,"protein_coding","diaphanous related formin 3 [Source:MGI Symbol;Acc:MGI:1927222]","-"
"ENSMUSG00000041654","ENSMUSG00000041654",1645.58964659536,-1.33923207788356,0.0938944836757462,-14.2631603631631,3.71253383905503e-46,1.43713965343455e-44,"Slc39a11","11",113244853,113650079,"-",3359,"protein_coding","solute carrier family 39 (metal ion transporter), member 11 [Source:MGI Symbol;Acc:MGI:1917056]","-"
"ENSMUSG00000016256","ENSMUSG00000016256",20042.5569813565,-1.40351150738417,0.0984311277816137,-14.2588177034616,3.95091355160892e-46,1.52670585006675e-44,"Ctsz","2",174427493,174439039,"-",1441,"protein_coding","cathepsin Z [Source:MGI Symbol;Acc:MGI:1891190]","-"
"ENSMUSG00000005045","ENSMUSG00000005045",222.731344037509,-2.24677364517527,0.157597053572675,-14.2564444844724,4.08755979831003e-46,1.57671288928086e-44,"Chd5","4",152338651,152390194,"+",9583,"protein_coding","chromodomain helicase DNA binding protein 5 [Source:MGI Symbol;Acc:MGI:3036258]","-"
"ENSMUSG00000031204","ENSMUSG00000031204",83.7917116811685,3.64202503074892,0.255660249724843,14.2455662726947,4.77660293694612e-46,1.83924530755837e-44,"Asb12","X",95470201,95557987,"-",1594,"protein_coding","ankyrin repeat and SOCS box-containing 12 [Source:MGI Symbol;Acc:MGI:1917642]","-"
"ENSMUSG00000028944","ENSMUSG00000028944",2297.72165745947,0.907756198934493,0.0637274647724642,14.2443482127461,4.86061760228856e-46,1.86829453305603e-44,"Prkag2","5",24862744,25100642,"-",6480,"protein_coding","protein kinase, AMP-activated, gamma 2 non-catalytic subunit [Source:MGI Symbol;Acc:MGI:1336153]","-"
"ENSMUSG00000023008","ENSMUSG00000023008",2561.48663844584,-0.97336142345598,0.068336181752938,-14.2437197760779,4.9045369088193e-46,1.88185699631704e-44,"Fmnl3","15",99317225,99370482,"-",5021,"protein_coding","formin-like 3 [Source:MGI Symbol;Acc:MGI:109569]","-"
"ENSMUSG00000027371","ENSMUSG00000027371",633.246840420056,1.08029111483104,0.0759268752030125,14.228046550613,6.13722841989025e-46,2.35069870269048e-44,"Fahd2a","2",127436215,127444565,"-",1463,"protein_coding","fumarylacetoacetate hydrolase domain containing 2A [Source:MGI Symbol;Acc:MGI:1915376]","-"
"ENSMUSG00000028678","ENSMUSG00000028678",192.403599184461,-3.40002945703234,0.239002789666991,-14.2258986255754,6.32861386041982e-46,2.41975106094718e-44,"Kif2c","4",117159639,117182639,"-",4363,"protein_coding","kinesin family member 2C [Source:MGI Symbol;Acc:MGI:1921054]","-"
"ENSMUSG00000026928","ENSMUSG00000026928",563.434118263281,-1.77344470147313,0.124833796744813,-14.2064468735052,8.35588237271886e-46,3.18928372033336e-44,"Card9","2",26352176,26360918,"-",2293,"protein_coding","caspase recruitment domain family, member 9 [Source:MGI Symbol;Acc:MGI:2685628]","-"
"ENSMUSG00000086587","ENSMUSG00000086587",39.0751716888988,3.56608747956773,0.251022571030863,14.2062423507298,8.38031534926615e-46,3.19301735527809e-44,"Gm11837","4",14929908,14953030,"+",1012,"antisense","predicted gene 11837 [Source:MGI Symbol;Acc:MGI:3702175]","-"
"ENSMUSG00000002603","ENSMUSG00000002603",4626.0777864148,-1.42175869985683,0.100104921329223,-14.2026853523112,8.81679823043752e-46,3.35346074405158e-44,"Tgfb1","7",25687002,25705077,"+",5042,"protein_coding","transforming growth factor, beta 1 [Source:MGI Symbol;Acc:MGI:98725]","-"
"ENSMUSG00000039396","ENSMUSG00000039396",155.013972314068,-3.13273561206986,0.220779655555875,-14.1894215940428,1.06533786938996e-45,4.04494312290677e-44,"Neil3","8",53586867,53639065,"-",5555,"protein_coding","nei like 3 (E. coli) [Source:MGI Symbol;Acc:MGI:2384588]","-"
"ENSMUSG00000071715","ENSMUSG00000071715",1149.46296814862,-2.25615466982808,0.159313550760836,-14.1617248442039,1.58066265313756e-45,5.99112380217045e-44,"Ncf4","15",78244801,78262580,"+",2020,"protein_coding","neutrophil cytosolic factor 4 [Source:MGI Symbol;Acc:MGI:109186]","-"
"ENSMUSG00000053644","ENSMUSG00000053644",2870.7040857953,0.888613379108548,0.0627561541987823,14.15978066938,1.62500532976526e-45,6.14850106890696e-44,"Aldh7a1","18",56509687,56572951,"-",5181,"protein_coding","aldehyde dehydrogenase family 7, member A1 [Source:MGI Symbol;Acc:MGI:108186]","-"
"ENSMUSG00000051517","ENSMUSG00000051517",131.558448536315,-2.6136413107816,0.184727666555397,-14.1486186639932,1.90461762344192e-45,7.19397512743384e-44,"Arhgef39","4",43496142,43499695,"-",2675,"protein_coding","Rho guanine nucleotide exchange factor (GEF) 39 [Source:MGI Symbol;Acc:MGI:3036286]","-"
"ENSMUSG00000035914","ENSMUSG00000035914",487.620734028194,-2.03429233423603,0.143851579298008,-14.1416058423781,2.10427156128501e-45,7.93434159284523e-44,"Cd276","9",58524298,58555437,"-",3658,"protein_coding","CD276 antigen [Source:MGI Symbol;Acc:MGI:2183926]","-"
"ENSMUSG00000048922","ENSMUSG00000048922",157.014713435852,-2.6569755993928,0.187913811215321,-14.1393311231834,2.17340322686501e-45,8.18085490955026e-44,"Cdca2","14",67676331,67715841,"-",5715,"protein_coding","cell division cycle associated 2 [Source:MGI Symbol;Acc:MGI:1919787]","-"
"ENSMUSG00000001131","ENSMUSG00000001131",779.526731164443,-3.34733667580472,0.236862803686689,-14.1319642582312,2.41318081757667e-45,9.06773495487342e-44,"Timp1","X",20870166,20874735,"+",888,"protein_coding","tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]","-"
"ENSMUSG00000034349","ENSMUSG00000034349",2003.2472773412,-1.22487200816663,0.086732539469955,-14.1224045283597,2.76396946456692e-45,1.03679777126973e-43,"Smc4","3",69004738,69034623,"+",5210,"protein_coding","structural maintenance of chromosomes 4 [Source:MGI Symbol;Acc:MGI:1917349]","-"
"ENSMUSG00000027852","ENSMUSG00000027852",3988.28641611699,-0.721062599370764,0.0510675005711471,-14.1197942195385,2.86827651233584e-45,1.07407591597676e-43,"Nras","3",103058285,103067914,"+",5331,"protein_coding","neuroblastoma ras oncogene [Source:MGI Symbol;Acc:MGI:97376]","-"
"ENSMUSG00000042500","ENSMUSG00000042500",700.523447006659,-0.869697386959557,0.0616317056885558,-14.1112010002515,3.24012436568301e-45,1.21123962994332e-43,"Ago4","4",126489541,126533472,"-",6947,"protein_coding","argonaute RISC catalytic subunit 4 [Source:MGI Symbol;Acc:MGI:1924100]","-"
"ENSMUSG00000046323","ENSMUSG00000046323",94.2974380609739,-4.78330513357013,0.339090255542771,-14.1062889758175,3.47383424946711e-45,1.29638259645353e-43,"Dppa3","6",122626410,122630272,"+",892,"protein_coding","developmental pluripotency-associated 3 [Source:MGI Symbol;Acc:MGI:1920958]","-"
"ENSMUSG00000086712","ENSMUSG00000086712",291.671867384655,-2.9732616364161,0.210926276252765,-14.0962126162654,4.00705191347484e-45,1.49281520345762e-43,"AI427809","4",53261356,53270232,"-",2369,"lincRNA","expressed sequence AI427809 [Source:MGI Symbol;Acc:MGI:2140270]","-"
"ENSMUSG00000038244","ENSMUSG00000038244",3328.01077357032,-1.96606605567036,0.139498976054577,-14.0937669313155,4.14830369189816e-45,1.54280086452609e-43,"Mical2","7",112225856,112413106,"+",15218,"protein_coding","microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:MGI Symbol;Acc:MGI:2444947]","-"
"ENSMUSG00000057069","ENSMUSG00000057069",1351.8313893418,-1.34795510306605,0.0956907357548454,-14.0865789403004,4.59277614594309e-45,1.70519528662153e-43,"Ero1lb","13",12565874,12611396,"+",6653,"protein_coding","ERO1-like beta (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914725]","-"
"ENSMUSG00000056973","ENSMUSG00000056973",27951.843561628,2.32855174818511,0.165315606703132,14.0854925594934,4.66395514213077e-45,1.72867752325847e-43,"Ces1d","8",93166068,93197838,"-",2369,"protein_coding","carboxylesterase 1D [Source:MGI Symbol;Acc:MGI:2148202]","-"
"ENSMUSG00000020808","ENSMUSG00000020808",281.025370745338,-2.64861770946914,0.188087109985306,-14.0818672245858,4.90952290416084e-45,1.81660682806929e-43,"Pimreg","11",72042032,72047370,"+",2529,"protein_coding","PICALM interacting mitotic regulator [Source:MGI Symbol;Acc:MGI:1924434]","-"
"ENSMUSG00000006589","ENSMUSG00000006589",1919.68551926964,-1.75760651394668,0.124834973587088,-14.079439947336,5.08108644686064e-45,1.87690166140476e-43,"Aprt","8",122574635,122576909,"-",1615,"protein_coding","adenine phosphoribosyl transferase [Source:MGI Symbol;Acc:MGI:88061]","-"
"ENSMUSG00000030144","ENSMUSG00000030144",463.784069077579,-3.13425809775073,0.222625365843322,-14.0786207621846,5.14032368286866e-45,1.89557046268087e-43,"Clec4d","6",123262111,123275265,"+",1599,"protein_coding","C-type lectin domain family 4, member d [Source:MGI Symbol;Acc:MGI:1298389]","-"
"ENSMUSG00000005103","ENSMUSG00000005103",10528.1976361245,-1.08312745319001,0.0769560219084364,-14.0746289416926,5.43896179266608e-45,2.00230968427981e-43,"Wdr1","5",38526813,38563221,"-",8899,"protein_coding","WD repeat domain 1 [Source:MGI Symbol;Acc:MGI:1337100]","-"
"ENSMUSG00000061838","ENSMUSG00000061838",1997.95836518493,1.18782343630568,0.0844708656018087,14.0619304400764,6.50862358244348e-45,2.39205636350376e-43,"Suclg2","6",95473009,95718800,"-",4623,"protein_coding","succinate-Coenzyme A ligase, GDP-forming, beta subunit [Source:MGI Symbol;Acc:MGI:1306824]","-"
"ENSMUSG00000025175","ENSMUSG00000025175",75.2687258587108,3.50554790273302,0.249335857063437,14.0595417924231,6.73206782302427e-45,2.47001155109412e-43,"Fn3k","11",121434913,121450491,"+",4399,"protein_coding","fructosamine 3 kinase [Source:MGI Symbol;Acc:MGI:1926834]","-"
"ENSMUSG00000003283","ENSMUSG00000003283",1326.00456198627,-2.86485817037629,0.203784349166108,-14.0582835831082,6.85281843420454e-45,2.51008949504292e-43,"Hck","2",153108468,153151441,"+",2092,"protein_coding","hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052]","-"
"ENSMUSG00000021969","ENSMUSG00000021969",2489.9828739639,-0.949685617545231,0.0675805212332816,-14.0526530457941,7.42012938432667e-45,2.71332717788616e-43,"Zdhhc20","14",57832703,57890276,"-",7213,"protein_coding","zinc finger, DHHC domain containing 20 [Source:MGI Symbol;Acc:MGI:1923215]","-"
"ENSMUSG00000012187","ENSMUSG00000012187",585.879625189934,2.7476730278061,0.195849537830056,14.029509889323,1.02859961633584e-44,3.75499163122668e-43,"Mogat1","1",78510991,78538173,"+",1558,"protein_coding","monoacylglycerol O-acyltransferase 1 [Source:MGI Symbol;Acc:MGI:1915643]","-"
"ENSMUSG00000041836","ENSMUSG00000041836",2496.10008526259,-1.62909286898433,0.116177854662783,-14.0224044738381,1.13696235045007e-44,4.14363837219211e-43,"Ptpre","7",135537481,135686293,"+",10201,"protein_coding","protein tyrosine phosphatase, receptor type, E [Source:MGI Symbol;Acc:MGI:97813]","-"
"ENSMUSG00000029291","ENSMUSG00000029291",1760.5840423997,-0.924174041264478,0.0659348487505466,-14.0164732122301,1.23606374968224e-44,4.49729104517109e-43,"Rufy3","5",88565040,88651392,"+",10214,"protein_coding","RUN and FYVE domain containing 3 [Source:MGI Symbol;Acc:MGI:106484]","-"
"ENSMUSG00000015143","ENSMUSG00000015143",5749.01513152827,-1.451044987519,0.103545005421748,-14.0136647017282,1.28594236213249e-44,4.67097130671925e-43,"Actn1","12",80167547,80260371,"-",5533,"protein_coding","actinin, alpha 1 [Source:MGI Symbol;Acc:MGI:2137706]","-"
"ENSMUSG00000058126","ENSMUSG00000058126",1288.76119660032,-1.01303151418971,0.0723231031393948,-14.0070250060648,1.41196935410969e-44,5.12020966779811e-43,"Tpm3-rs7","14",113314608,113316754,"+",2147,"protein_coding","tropomyosin 3, related sequence 7 [Source:MGI Symbol;Acc:MGI:99705]","-"
"ENSMUSG00000025204","ENSMUSG00000025204",3448.65050051926,0.935871141180958,0.0668555685279612,13.9984022541001,1.59414417714173e-44,5.77122561405762e-43,"Ndufb8","19",44548572,44555440,"-",3146,"protein_coding","NADH:ubiquinone oxidoreductase subunit B8 [Source:MGI Symbol;Acc:MGI:1914514]","-"
"ENSMUSG00000040181","ENSMUSG00000040181",6089.26583425395,1.99045438783562,0.142216303874086,13.995964833947,1.64975442915456e-44,5.96264478092777e-43,"Fmo1","1",162829561,162866610,"-",6304,"protein_coding","flavin containing monooxygenase 1 [Source:MGI Symbol;Acc:MGI:1310002]","-"
"ENSMUSG00000029822","ENSMUSG00000029822",661.908601660969,-2.11369235382159,0.15103712630377,-13.9945217811578,1.68358324199606e-44,6.07483661855333e-43,"Osbpl3","6",50293330,50456201,"-",9021,"protein_coding","oxysterol binding protein-like 3 [Source:MGI Symbol;Acc:MGI:1918970]","-"
"ENSMUSG00000030263","ENSMUSG00000030263",1612.36353341324,-1.97577895244158,0.141344896071263,-13.9784244593129,2.1110988784985e-44,7.60484115008203e-43,"Lrmp","6",145115653,145174934,"+",4070,"protein_coding","lymphoid-restricted membrane protein [Source:MGI Symbol;Acc:MGI:108424]","-"
"ENSMUSG00000033581","ENSMUSG00000033581",1404.58868424818,-2.10046887163372,0.150287736243027,-13.9763158601118,2.17456931923324e-44,7.82055507316324e-43,"Igf2bp2","16",22059009,22163299,"-",7402,"protein_coding","insulin-like growth factor 2 mRNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1890358]","-"
"ENSMUSG00000031958","ENSMUSG00000031958",1238.59489328501,1.44928629590633,0.103733907986278,13.9711915230075,2.33684073421617e-44,8.39029768723349e-43,"Ldhd","8",111623785,111630374,"-",5328,"protein_coding","lactate dehydrogenase D [Source:MGI Symbol;Acc:MGI:106428]","-"
"ENSMUSG00000099760","ENSMUSG00000099760",115.367683372207,-5.41863121420938,0.387964518943543,-13.9668215767893,2.48470369576526e-44,8.90651847787963e-43,"Gm28800","1",127959516,127967452,"+",2243,"antisense","predicted gene 28800 [Source:MGI Symbol;Acc:MGI:5579506]","-"
"ENSMUSG00000025743","ENSMUSG00000025743",12539.5941310369,-1.96143964364088,0.140519137009043,-13.9585232687179,2.79158168460575e-44,9.99010365095202e-43,"Sdc3","4",130792537,130826319,"+",5989,"protein_coding","syndecan 3 [Source:MGI Symbol;Acc:MGI:1349163]","-"
"ENSMUSG00000003779","ENSMUSG00000003779",302.079275136828,-2.04447244858473,0.146587481479952,-13.9471149101114,3.27591283150115e-44,1.17041384015961e-42,"Kif20a","18",34624624,34633265,"+",3796,"protein_coding","kinesin family member 20A [Source:MGI Symbol;Acc:MGI:1201682]","-"
"ENSMUSG00000027439","ENSMUSG00000027439",1957.04764634517,0.817299039841381,0.0586157277633874,13.9433403120158,3.45389349983297e-44,1.2319828958324e-42,"Gzf1","2",148681023,148692949,"+",4472,"protein_coding","GDNF-inducible zinc finger protein 1 [Source:MGI Symbol;Acc:MGI:1921783]","ZBTB"
"ENSMUSG00000092060","ENSMUSG00000092060",412.667754159031,-1.99507781882695,0.143100196472945,-13.9418244558745,3.52804793481443e-44,1.25637707012003e-42,"Bend4","5",67392147,67428310,"-",9886,"protein_coding","BEN domain containing 4 [Source:MGI Symbol;Acc:MGI:3648414]","-"
"ENSMUSG00000017754","ENSMUSG00000017754",22804.3528131836,-1.70841215882383,0.122700926991468,-13.9233842865966,4.56753894958269e-44,1.62389794236876e-42,"Pltp","2",164839518,164857711,"-",2562,"protein_coding","phospholipid transfer protein [Source:MGI Symbol;Acc:MGI:103151]","-"
"ENSMUSG00000059027","ENSMUSG00000059027",574.726174060463,2.28362621308152,0.164070607673822,13.91855765916,4.88666029681801e-44,1.73452564346664e-42,"9630013D21Rik","4",109651529,109657853,"-",3142,"processed_transcript","RIKEN cDNA 9630013D21 gene [Source:MGI Symbol;Acc:MGI:2442649]","-"
"ENSMUSG00000049988","ENSMUSG00000049988",1849.72901359366,-2.24176292694758,0.161206104314848,-13.9061913100341,5.80915024190022e-44,2.05861171336542e-42,"Lrrc25","8",70616155,70621483,"+",2039,"protein_coding","leucine rich repeat containing 25 [Source:MGI Symbol;Acc:MGI:2445284]","-"
"ENSMUSG00000026207","ENSMUSG00000026207",1529.71059279532,-1.39183993966702,0.100152813956246,-13.8971625927064,6.59025161946824e-44,2.33162246419953e-42,"Speg","1",75375297,75432320,"+",12741,"protein_coding","SPEG complex locus [Source:MGI Symbol;Acc:MGI:109282]","-"
"ENSMUSG00000052384","ENSMUSG00000052384",4210.23934015058,-1.70199025210932,0.122471880265786,-13.8969880140297,6.60634200979279e-44,2.33352703016895e-42,"Nrros","16",32142785,32165594,"-",4177,"protein_coding","negative regulator of reactive oxygen species [Source:MGI Symbol;Acc:MGI:2445095]","-"
"ENSMUSG00000024621","ENSMUSG00000024621",21556.8584787416,-1.50355512314533,0.10819614938379,-13.8965677772134,6.64523442829599e-44,2.34346665259357e-42,"Csf1r","18",61105572,61132149,"+",4885,"protein_coding","colony stimulating factor 1 receptor [Source:MGI Symbol;Acc:MGI:1339758]","-"
"ENSMUSG00000022803","ENSMUSG00000022803",232.386406411671,2.84815584901322,0.204963165857932,13.8959399709282,6.70376190928346e-44,2.36028735138811e-42,"Popdc2","16",38362209,38378216,"+",2360,"protein_coding","popeye domain containing 2 [Source:MGI Symbol;Acc:MGI:1930150]","-"
"ENSMUSG00000028565","ENSMUSG00000028565",2831.98740682861,1.17538069640565,0.0845896828172421,13.8950833867658,6.78444536142654e-44,2.38484197107951e-42,"Nfia","4",97772734,98118874,"+",10891,"protein_coding","nuclear factor I/A [Source:MGI Symbol;Acc:MGI:108056]","CTF/NFI"
"ENSMUSG00000001270","ENSMUSG00000001270",8562.58004202845,-1.61155301180257,0.116005899681681,-13.8919918402827,7.08376347946741e-44,2.48604736347042e-42,"Ckb","12",111669361,111672338,"-",2895,"protein_coding","creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]","-"
"ENSMUSG00000031165","ENSMUSG00000031165",1175.87084571647,-2.12964518110472,0.153310899854698,-13.8910226417242,7.18027744921012e-44,2.51586763228433e-42,"Was","X",8081453,8090498,"-",2381,"protein_coding","Wiskott-Aldrich syndrome [Source:MGI Symbol;Acc:MGI:105059]","-"
"ENSMUSG00000022415","ENSMUSG00000022415",952.733267781133,-2.5704031151764,0.18507054027832,-13.8887751195348,7.40915245719289e-44,2.59189516295444e-42,"Syngr1","15",80091334,80119501,"+",4808,"protein_coding","synaptogyrin 1 [Source:MGI Symbol;Acc:MGI:1328323]","-"
"ENSMUSG00000110457","ENSMUSG00000110457",81.3084637751818,-3.29155641064099,0.237052219021764,-13.8853642637228,7.7704336770548e-44,2.71392358265597e-42,"Gm45752","8",105973097,105985879,"+",3186,"lincRNA","predicted gene 45752 [Source:MGI Symbol;Acc:MGI:5804867]","-"
"ENSMUSG00000090486","ENSMUSG00000090486",238.259505490946,3.28273015733767,0.236618436162356,13.8735181018829,9.16680629699185e-44,3.19650202298625e-42,"BC035947","1",78497026,78512158,"-",3310,"protein_coding","cDNA sequence BC035947 [Source:MGI Symbol;Acc:MGI:2652858]","-"
"ENSMUSG00000041112","ENSMUSG00000041112",1482.55043157552,-1.42953652202405,0.103122274536782,-13.86253870413,1.06828027302809e-43,3.71918534670513e-42,"Elmo1","13",20090596,20608353,"+",12580,"protein_coding","engulfment and cell motility 1 [Source:MGI Symbol;Acc:MGI:2153044]","-"
"ENSMUSG00000020493","ENSMUSG00000020493",213.883594065526,-2.42846095155772,0.175243998710388,-13.8575983738596,1.14439518606469e-43,3.97782275679326e-42,"Prr11","11",87089153,87108708,"-",3824,"protein_coding","proline rich 11 [Source:MGI Symbol;Acc:MGI:2444496]","-"
"ENSMUSG00000024776","ENSMUSG00000024776",1458.14856310313,-1.42561054858526,0.102893794399687,-13.8551654830371,1.18383732915104e-43,4.10836795406332e-42,"Stambpl1","19",34192229,34240333,"+",5557,"protein_coding","STAM binding protein like 1 [Source:MGI Symbol;Acc:MGI:1923880]","-"
"ENSMUSG00000000881","ENSMUSG00000000881",1169.92493578369,-1.55104052404386,0.112008924218167,-13.8474727337154,1.31767075445074e-43,4.56555110055635e-42,"Dlg3","X",100767722,100818410,"+",5844,"protein_coding","discs large MAGUK scaffold protein 3 [Source:MGI Symbol;Acc:MGI:1888986]","-"
"ENSMUSG00000031299","ENSMUSG00000031299",8134.44198709137,1.13437577522303,0.081923319539261,13.8467994412677,1.33007708457034e-43,4.60122221922636e-42,"Pdha1","X",160122209,160138413,"-",3734,"protein_coding","pyruvate dehydrogenase E1 alpha 1 [Source:MGI Symbol;Acc:MGI:97532]","-"
"ENSMUSG00000031133","ENSMUSG00000031133",3543.56260378162,-1.00402779358482,0.0725144040296739,-13.8459083684114,1.3466751581818e-43,4.65125806615121e-42,"Arhgef6","X",57231485,57338729,"-",8552,"protein_coding","Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6 [Source:MGI Symbol;Acc:MGI:1920591]","-"
"ENSMUSG00000028063","ENSMUSG00000028063",13482.4985866325,-1.08400122335046,0.0783299527001729,-13.8389107357149,1.48438891714888e-43,5.11879304752256e-42,"Lmna","3",88480147,88509956,"-",5838,"protein_coding","lamin A [Source:MGI Symbol;Acc:MGI:96794]","-"
"ENSMUSG00000071203","ENSMUSG00000071203",939.94905595332,-1.73369608690622,0.125313065429251,-13.8349188168653,1.56913511401903e-43,5.40248509872524e-42,"Naip5","13",100211739,100246323,"-",5204,"protein_coding","NLR family, apoptosis inhibitory protein 5 [Source:MGI Symbol;Acc:MGI:1298220]","-"
"ENSMUSG00000056394","ENSMUSG00000056394",868.263660360182,-1.84456235472318,0.13343429667922,-13.8237499700512,1.83268423852771e-43,6.29992433666765e-42,"Lig1","7",13277283,13311433,"+",4268,"protein_coding","ligase I, DNA, ATP-dependent [Source:MGI Symbol;Acc:MGI:101789]","-"
"ENSMUSG00000022883","ENSMUSG00000022883",574.1409096988,-1.44709774229673,0.104775572310191,-13.8114038452834,2.17550234846025e-43,7.46659813895162e-42,"Robo1","16",72308306,73046095,"+",16511,"protein_coding","roundabout guidance receptor 1 [Source:MGI Symbol;Acc:MGI:1274781]","-"
"ENSMUSG00000023915","ENSMUSG00000023915",1989.00285244144,-1.15148770018569,0.0834101617219826,-13.8051248962177,2.37360777596243e-43,8.13358216821081e-42,"Tnfrsf21","17",43016555,43089189,"+",4109,"protein_coding","tumor necrosis factor receptor superfamily, member 21 [Source:MGI Symbol;Acc:MGI:2151075]","-"
"ENSMUSG00000018509","ENSMUSG00000018509",466.347737106343,1.54016858337524,0.111565892949091,13.8050128284102,2.37730193684055e-43,8.13358216821081e-42,"Cenpv","11",62524946,62539261,"-",1811,"protein_coding","centromere protein V [Source:MGI Symbol;Acc:MGI:1920389]","-"
"ENSMUSG00000023571","ENSMUSG00000023571",1894.44174043685,1.21070130172647,0.0877046151598014,13.8043055034278,2.40075026502138e-43,8.20093280186142e-42,"C1qtnf12","4",155962318,155966629,"+",1366,"protein_coding","C1q and tumor necrosis factor related 12 [Source:MGI Symbol;Acc:MGI:1914639]","-"
"ENSMUSG00000044350","ENSMUSG00000044350",2547.8732085858,-1.4097886313681,0.102136852459007,-13.8029378958385,2.44674189081701e-43,8.34495974467386e-42,"Lacc1","14",77024200,77036904,"-",3644,"protein_coding","laccase domain containing 1 [Source:MGI Symbol;Acc:MGI:2445077]","-"
"ENSMUSG00000040229","ENSMUSG00000040229",996.584553633663,-2.04564231517605,0.148275712355606,-13.7962062881212,2.68621576417324e-43,9.14740411943618e-42,"Gpr34","X",13632089,13640858,"+",2090,"protein_coding","G protein-coupled receptor 34 [Source:MGI Symbol;Acc:MGI:1346334]","-"
"ENSMUSG00000029771","ENSMUSG00000029771",3386.14662267193,-2.02281281869203,0.146744239393537,-13.7846148308913,3.15445679096624e-43,1.07251530892852e-41,"Irf5","6",29526625,29541871,"+",2905,"protein_coding","interferon regulatory factor 5 [Source:MGI Symbol;Acc:MGI:1350924]","IRF"
"ENSMUSG00000025781","ENSMUSG00000025781",9377.51792060806,0.766866507384634,0.0556459903486668,13.7811637923883,3.30894499277486e-43,1.12328889676846e-41,"Atp5c1","2",10056016,10080510,"-",1908,"protein_coding","ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 [Source:MGI Symbol;Acc:MGI:1261437]","-"
"ENSMUSG00000074743","ENSMUSG00000074743",8404.91132336493,2.24542702648693,0.163000105233651,13.7756170357574,3.57317022324259e-43,1.21109909557308e-41,"Thbd","2",148404466,148408188,"-",3723,"protein_coding","thrombomodulin [Source:MGI Symbol;Acc:MGI:98736]","-"
"ENSMUSG00000053158","ENSMUSG00000053158",3221.16880667711,-1.50708218214704,0.109485065165562,-13.7651850493768,4.12825844569057e-43,1.39706932554938e-41,"Fes","7",80377756,80387946,"-",5074,"protein_coding","feline sarcoma oncogene [Source:MGI Symbol;Acc:MGI:95514]","-"
"ENSMUSG00000026860","ENSMUSG00000026860",6529.32368671951,0.953415735819183,0.0692711423103765,13.7635341936084,4.22363997555396e-43,1.42713193220501e-41,"Sh3glb2","2",30344809,30359337,"-",3990,"protein_coding","SH3-domain GRB2-like endophilin B2 [Source:MGI Symbol;Acc:MGI:2385131]","-"
"ENSMUSG00000028681","ENSMUSG00000028681",1366.0334940243,2.53658532975785,0.184469279815119,13.7507195360664,5.04255086660266e-43,1.70119742394332e-41,"Ptch2","4",117096075,117116101,"+",5974,"protein_coding","patched 2 [Source:MGI Symbol;Acc:MGI:1095405]","-"
"ENSMUSG00000061666","ENSMUSG00000061666",340.213931620309,-2.24082965619137,0.163009365155363,-13.7466313917342,5.33566182396282e-43,1.79730160419545e-41,"Gdpd1","11",87033867,87074062,"-",2336,"protein_coding","glycerophosphodiester phosphodiesterase domain containing 1 [Source:MGI Symbol;Acc:MGI:1913819]","-"
"ENSMUSG00000000154","ENSMUSG00000000154",247.675019074108,1.50400601785874,0.10941262021499,13.7461840773345,5.36874460162221e-43,1.80565462728016e-41,"Slc22a18","7",143473736,143499334,"+",1699,"protein_coding","solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]","-"
